week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,nationcred_score_accumulated,is_active
2022-06-05,0,0,0,0,0,false
2022-06-12,0,0,0,0,0,false
2022-06-19,0,0,0,0,0,false
2022-06-26,0,0,0,0,0,false
2022-07-03,0,0,0,0,0,false
2022-07-10,0,0,0,0,0,false
2022-07-17,0,0,0,0,0,false
2022-07-24,0,0,0,0,0,false
2022-07-31,0.04,0,0,0.04,0.04,false
2022-08-07,0.4,0.34,0,0.74,0.78,false
2022-08-14,3.93,0,0,3.93,4.71,false
2022-08-21,4.96,0,0,4.96,9.67,false
2022-08-28,16.22,0,0,16.22,25.9,false
2022-09-04,6.27,0,0,6.27,32.16,true
2022-09-11,2.42,0.34,0,2.76,34.92,true
2022-09-18,3.02,0.17,0,3.19,38.12,true
2022-09-25,1.61,0.34,0,1.95,40.06,true
2022-10-02,3.85,0,0,3.85,43.91,true
2022-10-09,1.29,0,0,1.29,45.2,true
2022-10-16,1.45,0,0,1.45,46.65,true
2022-10-23,12.64,0.17,0,12.81,59.46,true
2022-10-30,15.16,0,0,15.16,74.62,true
2022-11-06,25.31,0,0,25.31,99.93,true
2022-11-13,8.68,0,0,8.68,108.6,true
2022-11-20,6.77,0,0,6.77,115.37,true
2022-11-27,2.57,0,0,2.57,117.95,true
2022-12-04,1.25,0,0,1.25,119.2,true
2022-12-11,1.12,0,0,1.12,120.32,true
2022-12-18,1.56,0,0,1.56,121.88,true
2022-12-25,2.29,0.17,0,2.46,124.35,true
2023-01-01,0.39,0,0,0.39,124.73,true
2023-01-08,1.59,0,0,1.59,126.32,false
2023-01-15,10.94,0,0,10.94,137.26,false
2023-01-22,1.27,0.17,0,1.44,138.7,false
2023-01-29,0.7,0,0,0.7,139.4,false
2023-02-05,0.21,0,0,0.21,139.62,false
2023-02-12,0.29,0,0,0.29,139.91,false
2023-02-19,2.06,0,0,2.06,141.97,false
2023-02-26,5.2,0,0,5.2,147.17,false
2023-03-05,0.66,0.17,0,0.83,148,false
2023-03-12,0.34,0.17,0,0.51,148.51,false
2023-03-19,0.65,0.34,0,0.99,149.49,false
2023-03-26,5.68,0.34,0,6.02,155.52,false
2023-04-02,4.11,0.17,0,4.28,159.79,false
2023-04-09,5.99,0.17,0,6.16,165.96,false
2023-04-16,2.41,0,0,2.41,168.37,true
2023-04-23,0.32,0,0,0.32,168.69,true
2023-04-30,0.04,0,0,0.04,168.72,false
2023-05-07,0.02,0.51,0,0.53,169.26,false
2023-05-14,0.2,0,0,0.2,169.45,false
2023-05-21,1.97,0,0,1.97,171.43,false
2023-05-28,3.03,0,0,3.03,174.46,false
2023-06-04,0.31,0,0,0.31,174.77,false
2023-06-11,0.07,0,0,0.07,174.84,false
2023-06-18,0.4,0,0,0.4,175.24,false
2023-06-25,2.08,0,0,2.08,177.32,false
2023-07-02,10.19,0,0,10.19,187.51,false
2023-07-09,11.76,0.17,0,11.93,199.44,false
2023-07-16,31.65,0,0,31.65,231.09,true
2023-07-23,9.83,0,0,9.83,240.92,true
2023-07-30,1.05,0.17,0,1.22,242.14,true
2023-08-06,0.12,0,0,0.12,242.26,true
2023-08-13,0.16,0,0,0.16,242.42,false
2023-08-20,0.03,0,0,0.03,242.44,false
2023-08-27,0.13,0,0,0.13,242.58,false
2023-09-03,1.29,0,0,1.29,243.87,false
2023-09-10,0.42,0,0,0.42,244.28,false
2023-09-17,2.85,0,0,2.85,247.14,false
2023-09-24,0.63,0,0,0.63,247.77,false
2023-10-01,0.06,0,0,0.06,247.83,false
2023-10-08,0,0,0,0,247.84,false
2023-10-15,0,0,0,0,247.84,false
2023-10-22,0,0,0,0,247.84,false
2023-10-29,0,0,0,0,247.84,false
2023-11-05,0,0,0,0,247.84,false
2023-11-12,0,0,0,0,247.84,false
2023-11-19,0,0,0,0,247.84,false
2023-11-26,0,0,0,0,247.84,false
2023-12-03,0,0,0,0,247.84,false
2023-12-10,0,0,0,0,247.84,false
2023-12-17,0,0,0,0,247.84,false
2023-12-24,0,0,0,0,247.84,false
2023-12-31,0.02,0,0,0.02,247.86,false
2024-01-07,0,0,0,0,247.86,false
2024-01-14,0,0,0,0,247.86,false
2024-01-21,0,0,0,0,247.86,false
2024-01-28,0,0,0,0,247.86,false
2024-02-04,0,0,0,0,247.86,false
2024-02-11,0,0,0,0,247.86,false
2024-02-18,0,0,0,0,247.86,false
2024-02-25,0,0,0,0,247.86,false
2024-03-03,0,0,0,0,247.86,false
2024-03-10,0,0,0,0,247.86,false
2024-03-17,0,0,0,0,247.86,false
2024-03-24,0,0,0,0,247.86,false
2024-03-31,0,0,0,0,247.86,false
2024-04-07,0,0,0,0,247.86,false
2024-04-14,0,0,0,0,247.86,false
2024-04-21,0,0,0,0,247.86,false
2024-04-28,0,0,0,0,247.86,false
2024-05-05,0,0,0,0,247.86,false
2024-05-12,0,0,0,0,247.86,false
2024-05-19,0,0,0,0,247.86,false
2024-05-26,0,0,0,0,247.86,false
2024-06-02,0,0,0,0,247.86,false
2024-06-09,0,0,0,0,247.86,false
2024-06-16,0,0,0,0,247.86,false
2024-06-23,0,0,0,0,247.86,false
2024-06-30,0,0,0,0,247.86,false
2024-07-07,0,0,0,0,247.86,false
2024-07-14,0,0,0,0,247.86,false
2024-07-21,0,0,0,0,247.86,false
2024-07-28,0,0,0,0,247.86,false
2024-08-04,0,0,0,0,247.86,false
2024-08-11,0,0,0,0,247.86,false
2024-08-18,0,0,0,0,247.86,false
2024-08-25,0,0,0,0,247.86,false
2024-09-01,0,0,0,0,247.86,false
2024-09-08,0,0,0,0,247.86,false
2024-09-15,0,0,0,0,247.86,false
2024-09-22,0,0,0,0,247.86,false
2024-09-29,0,0,0,0,247.86,false
2024-10-06,0,0,0,0,247.86,false
2024-10-13,0,0,0,0,247.86,false
2024-10-20,0,0,0,0,247.86,false
2024-10-27,0,0,0,0,247.86,false
2024-11-03,0,0,0,0,247.86,false
2024-11-10,0,0,0,0,247.86,false
2024-11-17,0,0,0,0,247.86,false
